language,code_type,pattern_type,pattern,severity,notes,source,version,added_by,added_at
en,communal,word,affectionate,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,collaborate,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,collaborative,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,committed,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,communal,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,compassionate,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,connect,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,considerate,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,cooperate,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,depend,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,emotional,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,empath,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,empathic,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,empathetic,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,feel,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,flatterable,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,gentle,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,honest,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,interpersonal,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,interdependent,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,kind,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,kinship,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,loyal,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,modest,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,nag,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,nurture,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,patient,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,pleasant,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,polite,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,quiet,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,respond,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,sensitive,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,submissive,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,support,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,sympathetic,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,team,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,together,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,trust,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,understand,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,warm,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,whine,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
en,communal,word,yield,low,Gaucher 2011 seed,Gaucher2011,1.0,trey,2026-04-29
